word;exercise
auf|halten (1), er hält auf, hielt auf, hat aufgehalten (es ist höflich, anderen menschen die tür aufzuhalten.);3/10b
begrüßung, die, -en;3/10b
benimmbuch, das, -er;3/10b
beziehung, die, -en;3/10b
beziehungsweise (bzw.);3/10b
duzen;3/10b
gastgeber, der, -;3/10b
gastgeberin, die, -nen;3/10b
geschäftsfrau, die, -en;3/10b
geschäftsmann, der, -er;3/10b
gewohnheit, die, -en;3/10b
hierarchisch;3/10b
ignorieren;3/10b
klagen;3/10b
kuss, der, -e;3/10b
lift, der, -e;3/10b
niesen;3/10b
personal, das (sg.);3/10b
reihe, die, -n (der reihe nach);3/10b
siezen;3/10b
theoretisch;3/10b
üblich;3/10b
umarmen;3/10b
umgekehrt;3/10b
unsicher;3/10b
unter (+ d.) (unter studierenden gibt es eigentlich kein siezen mehr.);3/10b
verhalten (sich), er verhält, verhielt, hat verhalten;3/10b
verkehrt;3/10b
vertraut;3/10b
vorgesetzte, der/die, -n;3/10b
wange, die, -n;3/10b
arbeiter, der, -;3/1a
arbeiterin, die, -nen;3/1a
automatisiert;3/1a
bedingung, die, -en;3/1a
behandlung, die, -en;3/1a
diagnose, die, -n;3/1a
gruppenarbeit, die, -en;3/1a
handarbeit, die, -en;3/1a
hygiene, die (sg.);3/1a
konkurrenz, die (sg.);3/1a
medizinisch;3/1a
monoton;3/1a
operieren;3/1a
pflegekraft, die, -e;3/1a
schulbildung, die (sg.);3/1a
strafe, die, -n;3/1a
tolerant;3/1a
unterrichtsform, die, -en;3/1a
gegensatz, der, -e;3/1b
minimal;3/1b
ausschließlich;3/2
bewusst;3/2
biologisch;3/2
diät, die, -en;3/2
ernähren (sich);3/2
ernährung, die (sg.);3/2
fitness, die (sg.);3/2
form, die, -en;3/2
frucht, die, -e;3/2
halten, er hält, hielt, hat gehalten (diät halten);3/2
karotte, die, -n;3/2
nahrungsmittel, das, -;3/2
produziert (ökologisch produzierte ware);3/2
speise, die, -n;3/2
trend, der, -s;3/2
vegan;3/2
vegetarisch;3/2
vitamin, das, -e;3/2
workout, das, -s;3/2
erben;3/3a
weshalb;3/3a
führen (zu + d.) (welche ereignisse können zu veränderungen führen?);3/3b
gewohnt;3/3b
krisensituation, die, -en;3/3b
lebensgeschichte, die, -n;3/3b
lebensweg, der, -e;3/3b
prozess, der, -e;3/3b
raus;3/3b
todesfall, der, -e;3/3b
trennung, die, -en;3/3b
wendepunkt, der, -e;3/3b
zeitschriftenartikel, der, -;3/3b
abwärts;3/3c
afrika;3/3c
anliegen, das, -;3/3c
bahnradfahrer, der, -;3/3c
bahnradfahrerin, die, -nen;3/3c
berufssoldat, der, -en;3/3c
berufssoldatin, die, -nen;3/3c
buchautor, der, -en;3/3c
buchautorin, die, -nen;3/3c
bundeswehrzeit, die, -en;3/3c
ehren;3/3c
ein|setzen (2) (sich) (für/gegen + a.) (sich für den schutz der wildtiere einsetzen);3/3c
engagieren (sich) (für/gegen + a.) (sich für den schutz der wildtiere einsetzen);3/3c
engagiert sein;3/3c
ereignen (sich);3/3c
-fach (zehnfach);3/3c
gelähmt;3/3c
held, der, -en;3/3c
heldin, die, -nen;3/3c
herausforderung, die, -en;3/3c
höhepunkt, der, -e;3/3c
kämpfen (für/gegen + a.);3/3c
lebenswende, die, -n;3/3c
lokal;3/3c
mittlerweile;3/3c
mut, der (sg.) (mark möchte anderen mut machen, für ihre ziele zu kämpfen.);3/3c
namibia;3/3c
oberkörper, der, -;3/3c
olympiasieger, der, -;3/3c
olympiasiegerin, die, -nen;3/3c
optimismus, der (sg.);3/3c
politisch;3/3c
powerfrau, die, -en;3/3c
privatleben, das (sg.);3/3c
radikal;3/3c
rückkehr, die (sg.);3/3c
sammeln (als fotograf hat er schon viel erfahrung gesammelt.);3/3c
schließlich;3/3c
schutzprojekt, das, -e;3/3c
sehnsucht, die, -e;3/3c
seitdem (sie hatte einen unfall. seitdem ist sie gelähmt.);3/3c
selbstständigkeit, die (sg.);3/3c
stadtrat, der, -e;3/3c
stürzen;3/3c
tätig sein;3/3c
unverändert;3/3c
verursachen;3/3c
von … auf (von einem tag auf den anderen veränderte sich ihr leben radikal.);3/3c
wahl (1), die, -en (sie gewann eine lokale wahl und ist nun im stadtrat aktiv.);3/3c
weltmeister, der, -e;3/3c
weltmeisterin, die, -nen;3/3c
wesentlich;3/3c
wildhüter, der, -;3/3c
wildhüterin, die, -nen;3/3c
wildtier, das, -e;3/3c
wildtierstation, die, -en;3/3c
wirbelsäule, die, -n;3/3c
zufällig;3/3c
zweimonatig;3/3c
literarisch;3/4b
vergangene, das (sg.);3/4b
vergangenheitsform, die, -en;3/4b
zeitungsartikel, der, -;3/4b
begeistern;3/4d
historisch;3/4d
stadtfest, das, -e;3/4d
erstellen;3/5a
alte, der/die, -n (wieder der/die alte sein);3/5b
auf|wachen;3/5b
außerhalb (+ g.);3/5b
frisch (1) (ich bin frisch verliebt.);3/5b
gemacht sein (für + a.) (ich freue mich, wenn ich klamotten finde, die wie für mich gemacht sind.);3/5b
innerhalb (+ g.);3/5b
liebevoll;3/5b
nachtisch, der, -e;3/5b
schwach, schwächer, am schwächsten;3/5b
schwiegereltern, die (pl.);3/5b
sonnabend, der, -e;3/5b
verlieben (sich) (in + a.);3/5b
verschwinden, er verschwindet, verschwand, ist verschwunden;3/5b
während (+ g.) (während der arbeit lachen mein team und ich oft.);3/5b
regentag, der, -e;3/5e
jetzig;3/6a
klinikum, das, kliniken;3/6a
krise, die, -n;3/6b
lieb haben;3/6b
verhältnis, das, -se;3/6b
zuneigung, die (sg.);3/6b
botschaft, die, -en;3/6c
konsulat, das, -e;3/6c
reisepass, der, -e;3/6c
überqueren;3/6c
zoll, der, -e;3/6c
auf|geben, er gibt auf, gab auf, hat aufgegeben;3/6d
liebesgeschichte, die, -n;3/6d
niemals;3/6d
weg|ziehen, er zieht weg, zog weg, ist weggegangen;3/6d
büroangestellte, der/die, -n;3/8a
camping, das (sg.);3/8b
espresso-kanne, die, -n;3/8b
aspekt, der, -e;3/9a
blogeintrag, der, -e;3/9a
fach, das, -er (meine tasche hat viele kleine fächer.);3/9a
gucken;3/9a
jahrelang;3/9a
lehrling, der, -e;3/9a
mark, die, - (vor dem euro war die währung in deutschland mark.);3/9a
pfennig, der, -e (vor dem cent hieß die währung in deutschland pfennig.);3/9a
relativ;3/9a
veröffentlichen;3/9a
baustein, der, -e;3/9b
muster, das, -;3/9b
struktur, die, -en;3/9b
tempusform, die, -en;3/9b
aus|suchen;3/9c
nachher;3/9c
arbeitnehmer, der, -;4/10a
arbeitnehmerin, die, -nen;4/10a
eindruck, der, -e (mach einen guten eindruck auf den arbeitgeber.);4/10a
klein|machen;4/10a
überzeugen (von + d.);4/10a
qualifiziert;4/10c
absprache, die, -n;4/12a
gesucht;4/12a
inserat, das, -e;4/12a
kommunikativ;4/12a
nachtportier, der, -s/-e;4/12a
stundenlohn, der, -e;4/12a
teilzeitjob, der, -s;4/12a
vergnügen, das, -;4/12a
zeiteinteilung, die, -en;4/12a
bereich, der, -e;4/12b
bewerbungsunterlagen, die (pl.);4/12b
interessent, der, -en;4/12b
interessentin, die, -nen;4/12b
vorbei|kommen, er kommt vorbei, kam vorbei, ist vorbeigekommen;4/12b
absolut;4/13b
aggressiv;4/13b
anfahrt, die, -en;4/13b
aufmerksamkeit, die (sg.);4/13b
aufregung, die (sg.);4/13b
auftritt, der, -e;4/13b
beurteilung, die, -en;4/13b
bewerber, der, -;4/13b
bewerberin, die, -nen;4/13b
branche, die, -n;4/13b
einstellung, die, -en;4/13b
entspannt;4/13b
fähigkeit, die, -en;4/13b
faktor, der, faktoren;4/13b
gesamt;4/13b
heraus|suchen;4/13b
konservativ;4/13b
körperhaltung, die, -en;4/13b
körpersprache, die (sg.);4/13b
lauter (vor lauter aufregung habe ich die frage der prüferin nicht verstanden.);4/13b
locker;4/13b
menschlich;4/13b
möglichst;4/13b
offen (jeder arbeitgeber freut sich über offene und engagierte mitarbeiter.);4/13b
optimistisch;4/13b
outfit, das, -s;4/13b
persönlichkeit, die, -en;4/13b
planung, die, -en;4/13b
ruhig (sagen sie ruhig, wenn sie etwas nicht verstanden haben.);4/13b
signalisieren;4/13b
steif;4/13b
stellen (den wecker stellen);4/13b
unternehmer, der, -;4/13b
unternehmerin, die, -nen;4/13b
verbindung, die, -en;4/13b
